%s was not added because it is not a standards file.,"%s nebyl přidán, protože se nejedná o soubor standardů."
%s was not found.,%s nenalezen.
%s(%s),%s(%s)
%s+2012,%s+2012
%s+2014,%s+2014
%s+2015,%s+2015
"%s, time remaining: %d","%s, zbývající čas: %d"
%s2017,%s2017
%s2018,%s2018
%s2019,%s2019
%s2020,%s2020
%s2021,%s2021
%s2022,%s2022
%s2023,%s2023
%s2024,%s2024
%s2025,%s2025
%s2026,%s2026
%s: %s < %s,%s: %s < %s
"%s: < %s,  %s: < %s","%s: < %s,  %s: < %s"
"%s: line %d: Redefinition of ""%s"" \n","%s: řádek %d: Předefinování z ""%s"" \n"
"%s: line %d: Tile ""%s"" cannot have children\n","%s: řádek %d: Uspořádání ""%s"" nemůže mit děti\n"
"%s: line %d: Undefined tile "" %s "" \n","%s: řádek %d: Nedefinované uspořádání "" %s "" \n"
%s\nInvalid file name,%s\nNeplatný název souboru
%s\nUnable to attach signature.\nFile may be read-only or in use.,%s\nNelze připojit podpis.\nSoubor může být pouze pro čtení nebo je používán.
%sCompare_%s vs %s%s,%sPorovnat_%s vs %s%s
%s°,%s°
%x (Regional short date),%x (Regionální krátký datum)
%X (Regional time),%X (Regionální datum)
&...,&...
&About ZwAuthHost...,&O ZwAuthHost...
&About ZWCAD...,&O aplikaci ZWCAD...
&About zwco...,&O aplikaci zwco
&Above Dimension Line,&Nad kótovací čárou
&Absolute,&Absolutně
&Absolute Angle,&Absolutní úhel
&Absolute coordinates,&Absolutní souřadnice
&Absolute size (\H),&Absolutní velikost (\H)
&Adaptive grid,A&daptivní mřížka
&Add ->,&Přidat ->
&Add Blocks...,&Přidat Bloky...
&Add Color...,&Přidat barvu...
&Add Current Location,&Přidat aktuální umístění
"&Add Current Path To ""Location""","&Přidat aktuální cestu k ""Umístění"""
&Add Dimstyle(s),&Přidat kót.styly
&Add entities to Group  >,&Přidat entity do skupiny  >
&Add Fit Point,&Přidat bod přizpůsobení
&Add Layer(s),&Přidat hladiny
&Add Layout(s),&Přidat rozvržení
&Add leader when moving identifier away from the boundary,Při přesunu identifikátoru od hr&anice přidejte odkaz
&Add Line Type(s),&Přidat typy čar
&Add Multileader Style(s),&Přidat styl(y) multiodkazu
&Add Properties...,&Přidat vlastnosti...
&Add Style,Přid&at styl
&Add Table Style(s),&Přidat styl(y) tabulky
&Add Text Style(s),&Přidat styly textu
&Add/Edit,&Přidat/Edituj
&Advanced...,P&okročilý...
&After:,&Za:
&Allow selection cycling,&Povolit cyklický výběr
&Angle of array:,&Úhel pole:
&Angular,&Úhel
&Apparent Intersect,&Zdánlivý průsečník
&Append,&Připojit
&Append symbol,P&řipojit symbol
&Append to...,&Připojit k...
&Apply and Close,&Použít a zavřít
&Apply changes only to the current plot,&Použít změny pouze pro aktuální vykreslení
&Apply to all active viewports,&Použít pro všechny výřezy
&ASSOCIATIVE - Maintain objects with associative dimensions,&ASOCIATIVNÍ - Udržuje objekty s asociativními kótami
&Attach as Xref...,&Připojit jako ext.ref...
&Attach...,&Připoj...
&Attachment,P&řipojit
&Attachment:,&Připojit:
&Attribute Definitions:,&Definice atributů:
&Auto preview changes,&Automatický náhled změn
&Auto Stack,&Auto-zlomek
&Auto Viewport,&Auto výřez
&AutoFit,P&řizpůsob
&Automatically select all nested objects,&Automaticky vybrat všechny vložené objekty
&AutoStack,&Auto-zlomek
&aux variable must be a symbol,proměnná &aux musí být symbol
&Available shapes:,&Dostupné tvary:
&Back,&Zpět
&Based on:,&Ualožen na:
&Baud Rate:,P&řenosová rychlost:
&Before:,P&řed:
&Bend line length:,&Délka zakřivení čáry:
&Beside the dimension line,&Stejně s kótovací čárou
&Bezier surface,Bezi&érová plocha
&Big Font:,&Big font:
&Bind all DWG references into one DGN file,Vá&zat všechny DWG reference do jednoho souboru DGN
&Bitmap,&Bitmapa
&Black:,&Černá:
&Block attribute value,Hodnota atributu &bloku
&Block to create or edit:,&Blok pro vytvoření nebo úpravu:
&Both dimension name and area,O&bojí název kóty a plocha
&Break Size:,Velikost p&řerušení:
&Break size:,V&elikost přerušení
&Browse,P&rocházet
&Browse for Drawings...,Proch&ázet pro výkresy...
&Bullet,&Odrážka
&Cache Path:,C&esta mezipam:
&Capital (A. B. C.),&Velké písmeno (A. B. C.)
&Cartesian format,&Kartézský formát
&Cell content:,&Obsah buňky:
&Cell styles:,&Styly buněk:
&Center,S&třed
&Center on paper,&Centrovat výkres
&Center Vertically,&Vycentrovat svisle
&Center\tCtrl+E,&Střed\tCtrl+E
&Centered,&Středově
&Change by:,&Změneno:
&Change Group description,Z&měnit popis skupiny
&Change view to:,&Změna pohledu na:
&Check Calibration,&Zkontrolovat kalibraci
&Check File,&Kontrolní soubor
&Check layer states to import,&Zkontrolovat stavy hladin pro import
&Choose an Excel file:,V&yberte soubor aplikace Excel:
&Choose blocks in the drawing file:,V&yberte bloky v souboru výkresu:
&Clear All,&Vyčistit vše
&Clear Overrides,&Vyčistit přesahy
&Clockwise,&Směr hod.ručiček
&Close Sheet Set,&Zavřít nastavení listu
&Close surface or solid,&Uzavřít plochu nebo těleso
&Collapse,&Sbalit
&Color dependent print style table,&Barevně závislá tabulka stylu vykreslování
&Colors...,&Barvy...
&Column settings:,&Nastavení sloupce:
&Column:,&Sloupec:
&Columns: Placeholder only,&Sloupce: Pouze držitel
&Compare:,&Porovnat:
&Configure Port...,&Konfigurovat port...
&Confirm each item to be purged,&Potvrdit každou čistěnou položku
&Conversion factor:,Převodní &faktor:
&Convert to Arc,&Převést na Oblouk
&Convert to Line,&Převést na Čáru
&Copy Cells,&Kopírovat buňky
&Copy Here,&Kopírovat sem
&Create a backup copy with each save,&Vytvářet záložní kopii při každém ukládání
&Create a copy,&Vytvořit kopii
&Create a folder hierarchy based on subsets,&Vytvořte hierarchii složek založenou na podskupinách
&Create a New Location,&Vytvořit nové umístění
"&Create a reference dimension\n(A reference dimension is a driven dimension. It is named and can be used in expressions, but does not constrain the geometry.)","&Vytvořte referenční kótu\n(Referenční kóta je řízená kóta. Je pojmenována a lze ji použít ve výrazech, ale neomezuje geometrii.)"
&Create subsets based on folder structure,&Vytvoří podmnožiny na základě struktury složek
"&Create unique layer, style, and block names","&Vytvořit jeniněčnou hladinu, styl, a názvy bloků"
&Cubic B-spline surface,Kub&ická B-spline plocha
&Current custom dictionary:,&Aktuální uživatelský slovník:
&Current display,&Aktuální zobrazení
&Current Drawings,&Aktuální grafika
&Current Style Name,N&ázev aktuálního stylu
&Cursor-dependent,Z&ávislý na kurzoru
&D,&O
&Data and time,&Datum a čas
&Date format:,Format &datumu:
&Datum identifier:,&Identifikátor dat:
&Decimal places of accuracy(0 to 16),Počet &desetinných míst (0 až 16)
&Decimal point symbol:,S&ymbol desetinného bodu:
&Decimal separator:,&Desetinný oddělovač:
&Decimal:,&Desetiny:
&Defaults,&Výchozí
&Define window,&Definovat okno
&Delete,&Vymazat
&Delete Current Filter,Vy&mazat aktuální filtr
&Delete from drawing,&Vymazat z výkresu
&Delete Layer,&Odstranit hladinu
&Delete Palette,Od&stranit paletu
&Delete property column,&Odstranit sloupec vlastností
&Delete row,&Odstraňte řádek
&Delete Style,V&ymazat styl
&Delete the parameter name\n(The parameter name will be replaced with the current value in expressions that reference the parameter name),"&Smažte název parametru\n(Název parametru bude nahrazen aktuální hodnotou ve výrazech, které odkazují na název parametru)"
&Delete\tCtrl+D,O&dstranit\tCtrl+D
&Delete\tDel,Vyma&zat\tDel
&Description (optional):,&Opció (volitelný):
&Detail View,Zobrazení &detailů
&Details,&Detaily
&Diameter symbol:,&Symbol průměru:
&Diesel expression:,Výraz &Dieselu:
&Dimension or leader text,Text k&óty nebo odkazu
&Dimension text,T&ext kóty
&Disable Macros,&Zakázat makra
&Disable standards notifications,&Zakázat oznámení standardů
&Discard changes and close the Block Editor,&Zrušit změny a zavřít Editor bloků
&Discard changes\nChanges will be ignored.,&Zrušit změny\nZměny budou ignorovány.
&Discard Edits to Array,&Zahodit úpravy do pole
&Discard the changes and close the Block Editor\nThe changes made will be ignored.,&Zahodit změny a zavřít Editor bloku\nProvedené změny budou ignorovány.
&Display at UCS origin point,&Zobrazit v počátku USS
&Display attribute definitions for editing,&Zobrazit definice atributů pro editaci
&Display lineweight,&Zobrazit tloušťku čáry
&Display selection cycling list box,&Zobrazit seznam cyklického výběru
&Display snap aperture box,Z&obrazit tooltip uchopení
&Display unnamed Groups,Z&obrazit nepojmenované skupiny
&Distance (in pixels),&Vzdálenost (v pixelech)
&Distance from view:,Vz&dálenost od zobrazení:
&Distributed,R&ozmístěný
&Dither:,&Půltóny:
"&Don't redefine ""%ls""\nNo changes will be made to this block or drawing.","&Nepředefinovávejte ""%ls""\nV tomto bloku nebo výkresu nebudou provedeny žádné změny."
&Don't save changes,&Neukládat změny
&Double line,&Dvojitá čára
&Download automatically and inform to install,&Automaticky stáhnout a informovat o instalaci
&Draft angles,Kr&eslicí úhly
&Draw area region,Na&kreslit oblast plochy
&Draw dimension line between extension lines when arrows outside,"&Kreslit kótovací čáru mezi vynášecí čáry, když jsou šipky ven"
&Drawing template file name:,Ná&zev souboru šablony výkresu:
&Dynamic Update,&Dynamicky aktualizovat
&East,Vý&chod
&Edit,&Edituj
&Edit Custom Properties...,Upravit uživat&elské vlastnosti...
&Edit Field,&Upravit pole
&Edit Lineweight,&Upravit tloušťky čar
&Edit Subset and Sheet Publish Settings...,&Upravit nastavení publikování podskupiny a listů...
&Elevation,&Výška
&Enable Auto Stacking,&Povolit automatické vytváření zlomků
&Enable AutoNumber,&Povolit automatické číslo
&Enable cloud storage,&Povolit cloud úložiště
&Enable Macros,&Povolit makra
&Enable Standards Notifications,&Povolit oznámení standardů
&End line length:,D&élka koncové čáry:
&End symbol:,&Koncový symbol:
&END to END - Combine co-linear objects when aligned end to end,&KONEC na KONEC - Spojit konce kolineárních objektů
&Ending Arrowhead,&Koncová šipka
&Enter file or Web name:,&Zadejte soubor nebo název Webu:
&Enter the drawing file name:,&Zadejte název výkresového souboru:
&Entire drawing,&Cely vykres
&EPS  Encapsulated PostScript,E&PS PostScriptový Soubor
&Exclude from new selection set,Vy&jmout z nové výběrové množiny
&Exclude from new set,V&yloučit z nové množiny
&Expand,&Rozbalit
&Explode text nodes into text elements,&Rozložte textové uzly na textové prvky
&Explore,&Prozkoumat
&Field Update Settings...,&Nastavení aktualizace políčka...
&File Compare...,Porovnat &soubor...
&File list in this report:,S&eznam souborů v této zprávě:
&File name and path:,&Název a cesta souboru:
&Files Tree,&Strom souborů
&Fill color:,&Barva výplně:
&Fill Series,&Vyplňte řadu
&Fill style:,Styl vypl&nění:
&Filter name:,&Název filtru:
&First line,Prv&ní řádek
&First line:,P&rvní řádek:
&Fix,&Fixován
&Fixed length extension lines,V&ynášecí čáry s pevnou délkou
&Flip Arrow,Otočená &šipka
&Flow Control:,Řízení &toku:
&Font size:,&Velikost fontu:
&Force text always inside extension lines,&Text vždy uvnitř vynášecích čar
&Format:,&Formát:
&Frame text,Te&xt rámečku
&Freeze in all viewports,Z&mrazit ve všech nových výřezech
&Frozen/Thawed,Zm&razená/Rozmrazená
&Full Text Style Information,&Úplné informace Stylu textu
&Generate new block definition,&Vygenerujte novou definici bloku
&Global scale factor:,&Globální měřítko:
&Grads,&Gradiany
&Grayscale:,&Odstíny šedi:
&Grid on(F7),&Rastr Ano(F7)
&Grid Snap On,&Rastr zapnut
&Gutter:,&Blikat:
&Hanging,Visen&í
&Hatch angle:,&Úhel šrafy:
&Hatch Scale,&Měřítko šrafy
&Have Disk...,&Z disku...
&Help Topic,&Témata nápovědy
&Help\tF1,&Nápověda\tF1
&Hide system printers,&Skrýt systémové tiskárny
&Highlight selected Group  >,&Zvýraznit vybranou skupinu  >
&Hold Selection,&Držet výběr
&Hyperlink base address:,&Základní hypertextový odkaz:
&Icon only,&Jen ikona
&Icons Only,Jen &ikon
&Ignore all external references,&Ignorovat všechny externí reference
&Ignore DWG references,&Ignorovazt DWG reference
&Ignore hatch objects,&Ignorovat objekty šraf
&Ignore islands,&Ignorovat ostrovy
&Inches (in),&Palce (in)
&Inches(in),&Palce (in)
&Include fonts,&Zahrnout fonty
&Include Header row,&Zahrnout hlavičku řádku
&Include in new selection set,&Zahrnout do nové výběrové množiny
&Include in new set,Zahrno&ut do nové množiny
&Include Title row,&Zahrnout nadpis řádku
&Increment Angle:,Příru&stkový úhel
&Index type:,Typ &indexu:
&Indicate selection area,&Indikovat plochu výběru
&Infer geometric constraint,Odvod&it geometrické omezení
&Input:,V&stup:
&Insert as Block...,&Vložit jako blok...
&Insert as new block,V&ložit jako nový blok
&Insert in Drawing,&Vložit do výkresu
&Insert row,&Vložte řádek
&Insert Sheet List Table...,Vlož&it tabulku seznamu listů...
&Insert Symbol,S&ymbol vložení
&Inside extension lines:,Kd&yž je mezi vynášecími čárami:
&Inspect...,&Prozkoumat...
&Inspection rate,&Měřítko kontr.rozměru
&Install Later,&Instalovat později
&Install Tool...,&Instalovat nástroj...
&Intermediate,&Střední
&Invert Selection,&Invertovat výběr
&Join line segments and arc segments,&Spojit segmenty úseček a segmenty oblouků
&Justified,Zarov&naný
&Justified\tCtrl+J,&Zarovnaný\tCtrl+J
&Justify\tCtrl+J,&Zarovnat\tCtrl+J
&Keep Existing Style,&Udržet existující styl
&Keep scene upright,&Udržujte scénu svisle
&Keep the original structure of files and folders,Pon&echat soubory a adresáře jak jsou
&key keyword must be a symbol,&klíčové slovo musí být symbol
&key variable must be a symbol,&klíčová proměnná musí být symbol
&Keyboard entry,Za&dání z klávesnice
&Keyword:,&Klíčové slovo:
&Language:,&Jazyk:
&Large Buttons,V&elká tlačítka
&Layout tab icon color:,Barva ikony &výřezu:
&Leader Arrowhead,&Odkazová šipka
&Leading,&Úvodní
&Leave visibility of existing objects unchanged in new state,&Ponechat nezměněnou viditelnost existujících objektů v novém stavu
&Left indent:,&Levé odsazení:
&Left\tCtrl+L,&Levý\tCtrl+L
&Length Change,Změna &Délky
&Linetype description:,&Popis typu čáry:
&Link to file or URL:,"&Link k souboru, nebo URL:"
&Lisp expression:,Výraz &Lispu:
&List existing text values,&Seznam existujících hodnot textu
&List Groups by entity  >,&Seznam skupin dle entity  >
&List Selected Object's All Scales,&Seznam všech měřítek vybraných objektů
&List separator:,O&ddělovač seznamu:
&List view,&Seznam
&List:,S&eznam:
&Local Skins,&Lokální vzhledy
&Locate,&Umístění
&Lock objects not in working set,Z&amknout objekty nenacházející se v pracovní množině
&Lock point cloud,Zamknout mra&čno bodů
&Lock Viewport,&Zamknout Výřez
&Lock/Unlock,Zamknout/O&demknout
&Lower,&Dolní
&lowercase,&malá písmena
&Luminance:,&Jas:
&Main Dictionary,&Hlavní slovník
&Make stylization current,&Udělejte stylizaci aktuální
&Manage Page Setups...,&Správa nastavení stránky...
&Manufacturers,&Výrobci
&Map,&Mapovat
&Master units,&Hlavní jednotky
&Match block orientation to layout,Př&izpůsobit orientaci bloku do rozvržení
&Match Case,&Rozlišovat VELKÁ/malá
&Match Objects,Najdi s&hodu objektů
&Maximum leader points,&Maximum bodů odkazu
&Menu Group,&Skupina nabídky:
&Merge cells on row/column creation,&Sloučit buňky při vytváření řádku/sloupce
&Merge selected layer(s) to...,&Sloučit vybranou hladinu(y) do…
&Millimeters (mm),&Milimetery (mm)
&Millimeters(mm),&Milimetry (mm)
&Minimum number of rows,&Minimální počet řádků
&Minutes between saves,&Interval ukládání (min)
&Model Space icon color:,Barva ikony &modelového prostoru:
&Modes,&Režimy
&Modified,&Upraven
&Monochrome,&Monochrom
&More Info,&Další informace
&More Window...,&Více oken...
&Move,&Přesunout
&Move Here,&Přesunout sem
&Move Identifier,&Přesunout identifikátor
&Multi-document,&Více dokumentů
&Multileader type:,&Typ multiodkazu:
&Multiple lines,V&íce řádků
&Multiplier for alt units:,&Násobitel alt.jednotek:
&My Workspace =,&Můj pracovní prostor =
&Name of custom property:,&Název uživatelské vlastnosti:
&Name of new transmittal setup:,&Nový název nastavení přenosu:
&Named location in file (optional):,Po&jmenované umístění v souboru (volitelný):
&Named viewports:,P&ojmenované výřezy:
&Negative numbers:,Z&áporné čísla:
&Nested islands,V&nořené ostrovy
&New configuration name:,&Nový název konfigurace:
&New DGN mapping setup name:,&Nový název nastavení mapování DGN:
&New Graphic File,&Nový soubor
&New name:,N&ový název:
&New page setup name:,&Název nového nastevení stránky:
&New viewport:,N&ový výřez:
&New...\tCtrl+N,&Nový...\tCtrl+N
&New\tCtrl+N,&Nový\tCtrl+N
&Next >,&Další >
&Next>>,&Pokračovat>>
&None,Žád&ný
&Normal to:,&Kolmo k:
&North,&Sever
&Noun/verb selection,V&ýběr před/po aktiv. příkazu
&Number of recently-used files,Po&čet naposledy-používaných souborů pro seznam
&Number/List Settings...,&Číslo/Seznam nastavení…...
&Oblique Angle,&Úhel zešikmení
&Off,&Ne
&Offset distance increment,Přírůstek vzdálen&osti odsazení
&Old Graphic File,S&tarý soubor
&Old Name:,&Starý název:
&OLE:,&OLE:
&On/Off,&Zapnutá/Vypnutá
&On/Off:,&Ano/Ne:
&One color,&Jedna barva
&Only display constraint bars for objects in the current plane,Zobr&azit pouze pruhy omezení pro objekty v aktuální rovině
&Only for documents that I choose,Pou&ze pro vybraný dokument
